Date,DateKey,DayOfMonth,DayName,DayNameShort,DayOfWeek,WeekOfYear,Month,MonthName,MonthNameShort,Quarter,Year,YearHalf,IsWeekend,IsWeekday
01/01/2020,20200101,1,Wednesday,Wed,3,1,1,January,Jan,1,2020,1,False,True
01/02/2020,20200102,2,Thursday,Thu,4,1,1,January,Jan,1,2020,1,False,True
01/03/2020,20200103,3,Friday,Fri,5,1,1,January,Jan,1,2020,1,False,True
01/04/2020,20200104,4,Saturday,Sat,6,1,1,January,Jan,1,2020,1,True,False
01/05/2020,20200105,5,Sunday,Sun,7,1,1,January,Jan,1,2020,1,True,False
01/06/2020,20200106,6,Monday,Mon,1,2,1,January,Jan,1,2020,1,False,True
01/07/2020,20200107,7,Tuesday,Tue,2,2,1,January,Jan,1,2020,1,False,True
01/08/2020,20200108,8,Wednesday,Wed,3,2,1,January,Jan,1,2020,1,False,True
01/09/2020,20200109,9,Thursday,Thu,4,2,1,January,Jan,1,2020,1,False,True
01/10/2020,20200110,10,Friday,Fri,5,2,1,January,Jan,1,2020,1,False,True
01/11/2020,20200111,11,Saturday,Sat,6,2,1,January,Jan,1,2020,1,True,False
01/12/2020,20200112,12,Sunday,Sun,7,2,1,January,Jan,1,2020,1,True,False
01/13/2020,20200113,13,Monday,Mon,1,3,1,January,Jan,1,2020,1,False,True
01/14/2020,20200114,14,Tuesday,Tue,2,3,1,January,Jan,1,2020,1,False,True
01/15/2020,20200115,15,Wednesday,Wed,3,3,1,January,Jan,1,2020,1,False,True
01/16/2020,20200116,16,Thursday,Thu,4,3,1,January,Jan,1,2020,1,False,True
01/17/2020,20200117,17,Friday,Fri,5,3,1,January,Jan,1,2020,1,False,True
01/18/2020,20200118,18,Saturday,Sat,6,3,1,January,Jan,1,2020,1,True,False
01/19/2020,20200119,19,Sunday,Sun,7,3,1,January,Jan,1,2020,1,True,False
01/20/2020,20200120,20,Monday,Mon,1,4,1,January,Jan,1,2020,1,False,True
01/21/2020,20200121,21,Tuesday,Tue,2,4,1,January,Jan,1,2020,1,False,True
01/22/2020,20200122,22,Wednesday,Wed,3,4,1,January,Jan,1,2020,1,False,True
01/23/2020,20200123,23,Thursday,Thu,4,4,1,January,Jan,1,2020,1,False,True
01/24/2020,20200124,24,Friday,Fri,5,4,1,January,Jan,1,2020,1,False,True
01/25/2020,20200125,25,Saturday,Sat,6,4,1,January,Jan,1,2020,1,True,False
01/26/2020,20200126,26,Sunday,Sun,7,4,1,January,Jan,1,2020,1,True,False
01/27/2020,20200127,27,Monday,Mon,1,5,1,January,Jan,1,2020,1,False,True
01/28/2020,20200128,28,Tuesday,Tue,2,5,1,January,Jan,1,2020,1,False,True
01/29/2020,20200129,29,Wednesday,Wed,3,5,1,January,Jan,1,2020,1,False,True
01/30/2020,20200130,30,Thursday,Thu,4,5,1,January,Jan,1,2020,1,False,True
01/31/2020,20200131,31,Friday,Fri,5,5,1,January,Jan,1,2020,1,False,True
02/01/2020,20200201,1,Saturday,Sat,6,5,2,February,Feb,1,2020,1,True,False
02/02/2020,20200202,2,Sunday,Sun,7,5,2,February,Feb,1,2020,1,True,False
02/03/2020,20200203,3,Monday,Mon,1,6,2,February,Feb,1,2020,1,False,True
02/04/2020,20200204,4,Tuesday,Tue,2,6,2,February,Feb,1,2020,1,False,True
02/05/2020,20200205,5,Wednesday,Wed,3,6,2,February,Feb,1,2020,1,False,True
02/06/2020,20200206,6,Thursday,Thu,4,6,2,February,Feb,1,2020,1,False,True
02/07/2020,20200207,7,Friday,Fri,5,6,2,February,Feb,1,2020,1,False,True
02/08/2020,20200208,8,Saturday,Sat,6,6,2,February,Feb,1,2020,1,True,False
02/09/2020,20200209,9,Sunday,Sun,7,6,2,February,Feb,1,2020,1,True,False
02/10/2020,20200210,10,Monday,Mon,1,7,2,February,Feb,1,2020,1,False,True
02/11/2020,20200211,11,Tuesday,Tue,2,7,2,February,Feb,1,2020,1,False,True
02/12/2020,20200212,12,Wednesday,Wed,3,7,2,February,Feb,1,2020,1,False,True
02/13/2020,20200213,13,Thursday,Thu,4,7,2,February,Feb,1,2020,1,False,True
02/14/2020,20200214,14,Friday,Fri,5,7,2,February,Feb,1,2020,1,False,True
02/15/2020,20200215,15,Saturday,Sat,6,7,2,February,Feb,1,2020,1,True,False
02/16/2020,20200216,16,Sunday,Sun,7,7,2,February,Feb,1,2020,1,True,False
02/17/2020,20200217,17,Monday,Mon,1,8,2,February,Feb,1,2020,1,False,True
02/18/2020,20200218,18,Tuesday,Tue,2,8,2,February,Feb,1,2020,1,False,True
02/19/2020,20200219,19,Wednesday,Wed,3,8,2,February,Feb,1,2020,1,False,True
02/20/2020,20200220,20,Thursday,Thu,4,8,2,February,Feb,1,2020,1,False,True
02/21/2020,20200221,21,Friday,Fri,5,8,2,February,Feb,1,2020,1,False,True
02/22/2020,20200222,22,Saturday,Sat,6,8,2,February,Feb,1,2020,1,True,False
02/23/2020,20200223,23,Sunday,Sun,7,8,2,February,Feb,1,2020,1,True,False
02/24/2020,20200224,24,Monday,Mon,1,9,2,February,Feb,1,2020,1,False,True
02/25/2020,20200225,25,Tuesday,Tue,2,9,2,February,Feb,1,2020,1,False,True
02/26/2020,20200226,26,Wednesday,Wed,3,9,2,February,Feb,1,2020,1,False,True
02/27/2020,20200227,27,Thursday,Thu,4,9,2,February,Feb,1,2020,1,False,True
02/28/2020,20200228,28,Friday,Fri,5,9,2,February,Feb,1,2020,1,False,True
02/29/2020,20200229,29,Saturday,Sat,6,9,2,February,Feb,1,2020,1,True,False
03/01/2020,20200301,1,Sunday,Sun,7,9,3,March,Mar,1,2020,1,True,False
03/02/2020,20200302,2,Monday,Mon,1,10,3,March,Mar,1,2020,1,False,True
03/03/2020,20200303,3,Tuesday,Tue,2,10,3,March,Mar,1,2020,1,False,True
03/04/2020,20200304,4,Wednesday,Wed,3,10,3,March,Mar,1,2020,1,False,True
03/05/2020,20200305,5,Thursday,Thu,4,10,3,March,Mar,1,2020,1,False,True
03/06/2020,20200306,6,Friday,Fri,5,10,3,March,Mar,1,2020,1,False,True
03/07/2020,20200307,7,Saturday,Sat,6,10,3,March,Mar,1,2020,1,True,False
03/08/2020,20200308,8,Sunday,Sun,7,10,3,March,Mar,1,2020,1,True,False
03/09/2020,20200309,9,Monday,Mon,1,11,3,March,Mar,1,2020,1,False,True
03/10/2020,20200310,10,Tuesday,Tue,2,11,3,March,Mar,1,2020,1,False,True
03/11/2020,20200311,11,Wednesday,Wed,3,11,3,March,Mar,1,2020,1,False,True
03/12/2020,20200312,12,Thursday,Thu,4,11,3,March,Mar,1,2020,1,False,True
03/13/2020,20200313,13,Friday,Fri,5,11,3,March,Mar,1,2020,1,False,True
03/14/2020,20200314,14,Saturday,Sat,6,11,3,March,Mar,1,2020,1,True,False
03/15/2020,20200315,15,Sunday,Sun,7,11,3,March,Mar,1,2020,1,True,False
03/16/2020,20200316,16,Monday,Mon,1,12,3,March,Mar,1,2020,1,False,True
03/17/2020,20200317,17,Tuesday,Tue,2,12,3,March,Mar,1,2020,1,False,True
03/18/2020,20200318,18,Wednesday,Wed,3,12,3,March,Mar,1,2020,1,False,True
03/19/2020,20200319,19,Thursday,Thu,4,12,3,March,Mar,1,2020,1,False,True
